Rk,Team,Date,ORtg,DRtg,3PA,TOV,ORB,DRB,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA
99,Houston,11/3/2025,108.4,82.4,21,13,12,25,,Lehigh,W 75-57,200,26,61,0.426,19,40,0.475,7,21,0.333,16,20,0.8,75,19,51,0.373,15,36,0.417,4,15,0.267,15,23,0.652,57,12,25,37,9,21,30,14,11,6,13,22,5,8,3,14,16,108.4,82.4,0.328,0.344,0.532,0.484,0.262,82.4,108.4,0.451,0.294,0.46,0.412,0.294
100,Houston Christian,11/3/2025,94.9,89.8,19,16,9,30,,Southern Ark.,W 74-70,200,26,59,0.441,21,40,0.525,5,19,0.263,17,24,0.708,74,25,67,0.373,17,40,0.425,8,27,0.296,12,18,0.667,70,9,30,39,10,23,33,18,9,11,16,14,8,11,1,13,18,94.9,89.8,0.407,0.322,0.526,0.483,0.288,89.8,94.9,0.269,0.403,0.463,0.433,0.179
101,Howard,11/3/2025,91.4,120.1,29,13,8,18,,Missouri,L 67-88,200,22,62,0.355,10,33,0.303,12,29,0.414,11,16,0.688,67,34,61,0.557,24,42,0.571,10,19,0.526,10,21,0.476,88,8,18,26,15,29,44,17,5,2,13,19,16,6,3,16,18,91.4,120.1,0.258,0.468,0.481,0.452,0.177,120.1,91.4,0.344,0.311,0.62,0.639,0.164
102,Idaho,11/3/2025,116.8,113.9,28,10,7,24,@,Washington State,W 83-81,200,29,58,0.5,18,30,0.6,11,28,0.393,14,19,0.737,83,25,57,0.439,19,29,0.655,6,28,0.214,25,34,0.735,81,7,24,31,6,25,31,14,3,3,10,23,8,5,4,5,19,116.8,113.9,0.328,0.483,0.619,0.595,0.241,113.9,116.8,0.596,0.491,0.554,0.491,0.439
103,Illinois,11/3/2025,149.6,72.8,37,12,21,39,,Jackson State,W 113-55,200,40,73,0.548,23,36,0.639,17,37,0.459,16,24,0.667,113,19,62,0.306,12,33,0.364,7,29,0.241,10,14,0.714,55,21,39,60,3,13,16,23,6,2,12,10,5,11,2,10,22,149.6,72.8,0.329,0.507,0.669,0.664,0.219,72.8,149.6,0.226,0.468,0.401,0.363,0.161
104,Illinois–Chicago,11/3/2025,113.3,88.4,26,15,10,31,,Detroit Mercy,W 91-71,200,25,56,0.446,14,30,0.467,11,26,0.423,30,36,0.833,91,24,77,0.312,16,37,0.432,8,40,0.2,15,20,0.75,71,10,31,41,18,21,39,17,7,7,15,17,13,11,4,14,25,113.3,88.4,0.643,0.464,0.622,0.545,0.536,88.4,113.3,0.26,0.519,0.41,0.364,0.195
105,Incarnate Word,11/3/2025,99.1,151.7,26,5,7,13,@,Colorado State,L 64-98,200,23,59,0.39,17,33,0.515,6,26,0.231,12,21,0.571,64,29,48,0.604,16,23,0.696,13,25,0.52,27,30,0.9,98,7,13,20,8,34,42,8,7,1,5,22,22,1,1,8,18,99.1,151.7,0.356,0.441,0.464,0.441,0.203,151.7,99.1,0.625,0.521,0.787,0.74,0.563
106,Indiana State,11/3/2025,106.1,128.5,26,9,6,16,@,Charlotte,L 76-92,200,27,57,0.474,20,31,0.645,7,26,0.269,15,21,0.714,76,31,65,0.477,21,44,0.477,10,21,0.476,20,30,0.667,92,6,16,22,14,25,39,19,6,1,9,20,14,6,2,8,16,106.1,128.5,0.368,0.456,0.567,0.535,0.263,128.5,106.1,0.462,0.323,0.58,0.554,0.308
107,Iowa State,11/3/2025,121.1,68.8,27,9,7,32,,FDU,W 88-50,200,35,67,0.522,23,40,0.575,12,27,0.444,6,9,0.667,88,17,52,0.327,11,25,0.44,6,27,0.222,10,17,0.588,50,7,32,39,6,23,29,19,11,1,9,20,7,6,4,18,11,121.1,68.8,0.134,0.403,0.617,0.612,0.09,68.8,121.1,0.327,0.519,0.416,0.385,0.192
108,Purdue Fort Wayne,11/3/2025,93.3,118.2,30,13,4,17,@,Grand Canyon,L 71-90,200,27,64,0.422,19,34,0.559,8,30,0.267,9,10,0.9,71,32,57,0.561,21,33,0.636,11,24,0.458,15,20,0.75,90,4,17,21,7,32,39,14,9,1,13,16,21,7,2,15,16,93.3,118.2,0.156,0.469,0.516,0.484,0.141,118.2,93.3,0.351,0.421,0.677,0.658,0.263
