Rk,Team,Date,ORtg,DRtg,3PA,TOV,ORB,DRB,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA
2358,Baylor,11/26/2025,127.9,113.8,23,9,10,23,N,San Diego State,W 91-81,200,30,57,0.526,21,34,0.618,9,23,0.391,22,30,0.733,91,28,59,0.475,17,33,0.515,11,26,0.423,14,17,0.824,81,10,23,33,4,23,27,18,6,1,9,14,20,5,3,9,22,127.9,113.8,0.526,0.404,0.639,0.605,0.386,113.8,127.9,0.288,0.441,0.604,0.568,0.237
2359,Belmont,11/26/2025,122,101,30,19,9,25,N,Toledo,W 87-72,199,35,60,0.583,20,30,0.667,15,30,0.5,2,3,0.667,87,26,59,0.441,15,28,0.536,11,31,0.355,9,13,0.692,72,9,25,34,5,13,18,20,6,3,19,13,13,9,2,11,11,122,101,0.05,0.5,0.708,0.708,0.033,101,122,0.22,0.525,0.552,0.534,0.153
2360,Boise State,11/26/2025,132.5,98.7,19,13,11,36,N,Chaminade,W 102-76,200,39,64,0.609,32,45,0.711,7,19,0.368,17,25,0.68,102,27,66,0.409,16,40,0.4,11,26,0.423,11,17,0.647,76,11,36,47,4,14,18,21,5,4,13,18,14,3,0,6,22,132.5,98.7,0.391,0.297,0.672,0.664,0.266,98.7,132.5,0.258,0.394,0.513,0.492,0.167
2361,Boston College,11/26/2025,112.7,92.6,30,7,7,24,,Harvard,W 73-60,200,26,59,0.441,14,29,0.483,12,30,0.4,9,10,0.9,73,25,60,0.417,20,41,0.488,5,19,0.263,5,6,0.833,60,7,24,31,5,26,31,14,2,6,7,10,11,5,1,8,11,112.7,92.6,0.169,0.508,0.573,0.542,0.153,92.6,112.7,0.1,0.317,0.477,0.458,0.083
2362,Bowling Green,11/26/2025,119.7,70.9,26,14,17,28,N,VMI,W 81-48,200,30,64,0.469,20,38,0.526,10,26,0.385,11,15,0.733,81,10,50,0.2,7,22,0.318,3,28,0.107,25,32,0.781,48,17,28,45,11,15,26,20,6,2,14,23,3,8,3,13,18,119.7,70.9,0.234,0.406,0.569,0.547,0.172,70.9,119.7,0.64,0.56,0.368,0.23,0.5
2363,Bradley,11/26/2025,115.1,99.5,18,13,8,25,N,Liberty,W 74-64,200,27,53,0.509,19,35,0.543,8,18,0.444,12,14,0.857,74,22,48,0.458,13,25,0.52,9,23,0.391,11,21,0.524,64,8,25,33,5,15,20,16,7,5,13,19,14,9,3,11,16,115.1,99.5,0.264,0.34,0.62,0.585,0.226,99.5,115.1,0.438,0.479,0.552,0.552,0.229
2364,Brown,11/26/2025,88.7,70.7,19,13,7,27,@,New Hampshire,W 59-47,200,22,51,0.431,17,32,0.531,5,19,0.263,10,15,0.667,59,18,60,0.3,11,30,0.367,7,30,0.233,4,4,1,47,7,27,34,7,25,32,12,8,6,13,15,8,9,3,14,16,88.7,70.7,0.294,0.373,0.508,0.48,0.196,70.7,88.7,0.067,0.5,0.38,0.358,0.067
2365,Bryant,11/26/2025,110,77.1,27,13,10,35,,Mercy,W 87-61,200,30,60,0.5,22,33,0.667,8,27,0.296,19,33,0.576,87,21,65,0.323,18,43,0.419,3,22,0.136,16,20,0.8,61,10,35,45,7,22,29,22,7,4,13,17,6,7,0,12,25,110,77.1,0.55,0.45,0.575,0.567,0.317,77.1,110,0.308,0.338,0.409,0.346,0.246
2366,Bucknell,11/26/2025,112.9,116.1,27,11,12,18,N,Buffalo,L 71-73,200,27,57,0.474,17,30,0.567,10,27,0.37,7,12,0.583,71,24,54,0.444,13,26,0.5,11,28,0.393,14,19,0.737,73,12,18,30,7,19,26,16,5,3,11,15,11,9,4,8,16,112.9,116.1,0.211,0.474,0.566,0.561,0.123,116.1,112.9,0.352,0.519,0.579,0.546,0.259
2367,Buffalo,11/26/2025,116.1,112.9,28,8,7,19,N,Bucknell,W 73-71,200,24,54,0.444,13,26,0.5,11,28,0.393,14,19,0.737,73,27,57,0.474,17,30,0.567,10,27,0.37,7,12,0.583,71,7,19,26,12,18,30,11,9,4,8,16,16,5,3,11,15,116.1,112.9,0.352,0.519,0.579,0.546,0.259,112.9,116.1,0.211,0.474,0.566,0.561,0.123
2368,Cal State Northridge,11/26/2025,86.7,105.6,23,11,10,25,N,Idaho,L 64-78,200,22,61,0.361,19,38,0.5,3,23,0.13,17,25,0.68,64,22,60,0.367,10,19,0.526,12,41,0.293,22,27,0.815,78,10,25,35,8,25,33,8,8,1,11,21,12,7,1,9,21,86.7,105.6,0.41,0.377,0.439,0.385,0.279,105.6,86.7,0.45,0.683,0.536,0.467,0.367
2369,UC Irvine,11/26/2025,87.4,71.1,21,18,8,34,N,South Dakota State,W 64-52,200,19,49,0.388,14,28,0.5,5,21,0.238,21,28,0.75,64,19,60,0.317,15,37,0.405,4,23,0.174,10,17,0.588,52,8,34,42,9,23,32,9,9,6,18,16,8,9,1,15,20,87.4,71.1,0.571,0.429,0.514,0.439,0.429,71.1,87.4,0.283,0.383,0.382,0.35,0.167
2370,UC San Diego,11/26/2025,132.6,111.3,25,6,5,23,N,Towson,W 87-73,200,32,53,0.604,16,28,0.571,16,25,0.64,7,15,0.467,87,25,65,0.385,16,36,0.444,9,29,0.31,14,17,0.824,73,5,23,28,12,20,32,18,8,1,6,13,7,3,2,9,16,132.6,111.3,0.283,0.472,0.723,0.755,0.132,111.3,132.6,0.262,0.446,0.499,0.454,0.215
2371,Cincinnati,11/26/2025,84.1,96.2,29,12,6,20,,Eastern Michigan,L 56-64,200,19,56,0.339,12,27,0.444,7,29,0.241,11,14,0.786,56,19,44,0.432,12,23,0.522,7,21,0.333,19,22,0.864,64,6,20,26,7,27,34,13,9,6,12,18,12,8,4,17,15,84.1,96.2,0.25,0.518,0.447,0.402,0.196,96.2,84.1,0.5,0.477,0.588,0.511,0.432
2372,The Citadel,11/26/2025,109.8,121.6,29,8,9,17,,Houston Christian,L 65-72,200,22,54,0.407,11,25,0.44,11,29,0.379,10,11,0.909,65,28,52,0.538,20,29,0.69,8,23,0.348,8,13,0.615,72,9,17,26,7,20,27,12,5,1,8,15,16,5,3,9,12,109.8,121.6,0.204,0.537,0.549,0.509,0.185,121.6,109.8,0.25,0.442,0.619,0.615,0.154
2373,Colorado State,11/26/2025,101.3,104.4,19,11,9,20,N,Virginia Tech,L 64-66,200,27,59,0.458,23,40,0.575,4,19,0.211,6,8,0.75,64,23,51,0.451,16,29,0.552,7,22,0.318,13,16,0.813,66,9,20,29,5,22,27,16,5,0,11,14,10,5,3,8,12,101.3,104.4,0.136,0.322,0.51,0.492,0.102,104.4,101.3,0.314,0.431,0.563,0.52,0.255
2374,Columbia,11/26/2025,145,105.3,20,8,10,28,@,Fairfield,W 106-77,200,40,64,0.625,29,44,0.659,11,20,0.55,15,16,0.938,106,29,71,0.408,21,46,0.457,8,25,0.32,11,16,0.688,77,10,28,38,12,10,22,19,5,2,8,13,8,6,3,10,14,145,105.3,0.25,0.313,0.74,0.711,0.234,105.3,145,0.225,0.352,0.49,0.465,0.155
2375,Cornell,11/26/2025,136.7,83.9,56,16,15,30,,Misericordia,W 114-70,200,40,76,0.526,16,20,0.8,24,56,0.429,10,11,0.909,114,25,62,0.403,16,41,0.39,9,21,0.429,11,18,0.611,70,15,30,45,7,17,24,35,11,4,16,13,11,12,2,21,11,136.7,83.9,0.145,0.737,0.702,0.684,0.132,83.9,136.7,0.29,0.339,0.496,0.476,0.177
2376,Delaware State,11/26/2025,84.3,90.1,13,9,10,27,N,Virginia St.,L 58-62,200,26,71,0.366,24,58,0.414,2,13,0.154,4,5,0.8,58,22,48,0.458,13,31,0.419,9,17,0.529,9,11,0.818,62,10,27,37,1,27,28,12,10,1,9,12,17,8,2,13,10,84.3,90.1,0.07,0.183,0.395,0.38,0.056,90.1,84.3,0.229,0.354,0.582,0.552,0.188
2377,Denver,11/26/2025,82.6,141.4,25,12,13,17,@,Wyoming,L 59-101,200,21,61,0.344,18,36,0.5,3,25,0.12,14,22,0.636,59,37,66,0.561,27,44,0.614,10,22,0.455,17,24,0.708,101,13,17,30,14,29,43,6,3,1,12,19,14,9,1,9,24,82.6,141.4,0.361,0.41,0.413,0.369,0.23,141.4,82.6,0.364,0.333,0.652,0.636,0.258
2378,Duquesne,11/26/2025,128.5,101.7,19,15,5,25,,Central St (OH),W 101-80,200,38,59,0.644,28,40,0.7,10,19,0.526,15,21,0.714,101,31,67,0.463,21,40,0.525,10,27,0.37,8,9,0.889,80,5,25,30,8,15,23,23,10,3,15,11,12,10,3,15,16,128.5,101.7,0.356,0.322,0.732,0.729,0.254,101.7,128.5,0.134,0.403,0.561,0.537,0.119
2379,Eastern Michigan,11/26/2025,96.2,84.1,21,17,7,27,@,Cincinnati,W 64-56,200,19,44,0.432,12,23,0.522,7,21,0.333,19,22,0.864,64,19,56,0.339,12,27,0.444,7,29,0.241,11,14,0.786,56,7,27,34,6,20,26,12,8,4,17,15,13,9,6,12,18,96.2,84.1,0.5,0.477,0.588,0.511,0.432,84.1,96.2,0.25,0.518,0.447,0.402,0.196
2380,Fairfield,11/26/2025,105.3,145,25,10,12,10,,Columbia,L 77-106,200,29,71,0.408,21,46,0.457,8,25,0.32,11,16,0.688,77,40,64,0.625,29,44,0.659,11,20,0.55,15,16,0.938,106,12,10,22,10,28,38,8,6,3,10,14,19,5,2,8,13,105.3,145,0.225,0.352,0.49,0.465,0.155,145,105.3,0.25,0.313,0.74,0.711,0.234
2381,FDU,11/26/2025,106.9,118.6,32,6,11,25,,Army,L 73-81,200,24,63,0.381,16,31,0.516,8,32,0.25,17,25,0.68,73,23,53,0.434,12,25,0.48,11,28,0.393,24,33,0.727,81,11,25,36,9,25,34,7,5,3,6,18,14,3,1,7,19,106.9,118.6,0.397,0.508,0.487,0.444,0.27,118.6,106.9,0.623,0.528,0.59,0.538,0.453
2382,Florida Gulf Coast,11/26/2025,112,114.2,25,11,8,22,,Kennesaw State,L 100-102 (OT),225,31,69,0.449,21,44,0.477,10,25,0.4,28,39,0.718,100,32,63,0.508,23,38,0.605,9,25,0.36,29,36,0.806,102,8,22,30,11,28,39,13,12,3,11,26,12,5,3,19,28,112,114.2,0.565,0.362,0.571,0.522,0.406,114.2,112,0.571,0.397,0.637,0.579,0.46
2383,Florida International,11/26/2025,100.7,83,31,7,8,23,,Omaha,W 74-61,200,26,64,0.406,15,33,0.455,11,31,0.355,11,22,0.5,74,20,55,0.364,13,28,0.464,7,27,0.259,14,20,0.7,61,8,23,31,10,27,37,17,14,7,7,21,11,5,4,19,16,100.7,83,0.344,0.484,0.497,0.492,0.172,83,100.7,0.364,0.491,0.473,0.427,0.255
2384,Fresno State,11/26/2025,109,76,30,7,6,23,N,Pepperdine,W 76-53,200,31,64,0.484,22,34,0.647,9,30,0.3,5,10,0.5,76,20,64,0.313,14,35,0.4,6,29,0.207,7,10,0.7,53,6,23,29,13,23,36,20,7,4,7,16,14,3,6,14,12,109,76,0.156,0.469,0.553,0.555,0.078,76,109,0.156,0.453,0.385,0.359,0.109
2385,Gardner-Webb,11/26/2025,76,125.1,25,15,5,14,N,Navy,L 51-84,200,19,51,0.373,15,26,0.577,4,25,0.16,9,12,0.75,51,29,57,0.509,18,33,0.545,11,24,0.458,15,18,0.833,84,5,14,19,12,26,38,8,7,3,15,17,20,6,4,14,12,76,125.1,0.235,0.49,0.45,0.412,0.176,125.1,76,0.316,0.421,0.641,0.605,0.263
2386,Georgia State,11/26/2025,78.7,104.5,33,11,11,25,N,New Mexico State,L 58-77,200,21,67,0.313,14,34,0.412,7,33,0.212,9,12,0.75,58,29,76,0.382,20,53,0.377,9,23,0.391,10,14,0.714,77,11,25,36,17,29,46,9,6,2,11,16,12,9,2,9,17,78.7,104.5,0.179,0.493,0.399,0.366,0.134,104.5,78.7,0.184,0.303,0.466,0.441,0.132
2387,Gonzaga,11/26/2025,74.8,123.9,22,11,10,21,N,Michigan,L 61-101,200,25,74,0.338,22,52,0.423,3,22,0.136,8,15,0.533,61,36,60,0.6,23,33,0.697,13,27,0.481,16,25,0.64,101,10,21,31,5,37,42,17,9,2,11,22,29,7,8,14,17,74.8,123.9,0.203,0.297,0.376,0.358,0.108,123.9,74.8,0.417,0.45,0.703,0.708,0.267
2388,Grand Canyon,11/26/2025,100.9,86.1,10,6,10,21,N,Utah,W 68-58,200,23,58,0.397,23,48,0.479,0,10,0,22,32,0.688,68,21,51,0.412,16,35,0.457,5,16,0.313,11,18,0.611,58,10,21,31,7,30,37,9,7,3,6,17,9,3,5,13,24,100.9,86.1,0.552,0.172,0.464,0.397,0.379,86.1,100.9,0.353,0.314,0.487,0.461,0.216
2389,Grand Canyon,11/26/2025,76.8,98.6,16,17,3,19,N,Iowa,L 46-59,200,17,42,0.405,12,26,0.462,5,16,0.313,7,9,0.778,46,19,47,0.404,13,28,0.464,6,19,0.316,15,22,0.682,59,3,19,22,8,19,27,8,4,4,17,17,11,7,2,10,14,76.8,98.6,0.214,0.381,0.497,0.464,0.167,98.6,76.8,0.468,0.404,0.513,0.468,0.319
2390,Harvard,11/26/2025,92.6,112.7,19,8,5,26,@,Boston College,L 60-73,200,25,60,0.417,20,41,0.488,5,19,0.263,5,6,0.833,60,26,59,0.441,14,29,0.483,12,30,0.4,9,10,0.9,73,5,26,31,7,24,31,11,5,1,8,11,14,2,6,7,10,92.6,112.7,0.1,0.317,0.477,0.458,0.083,112.7,92.6,0.169,0.508,0.573,0.542,0.153
2391,Holy Cross,11/26/2025,102,70.2,26,13,13,30,,Worcester St.,W 77-53,200,26,62,0.419,15,36,0.417,11,26,0.423,14,26,0.538,77,21,62,0.339,17,46,0.37,4,16,0.25,7,14,0.5,53,13,30,43,11,26,37,15,13,2,13,15,10,6,7,19,19,102,70.2,0.419,0.419,0.518,0.508,0.226,70.2,102,0.226,0.258,0.386,0.371,0.113
2392,Houston,11/26/2025,104.8,89,27,5,12,24,N,Notre Dame,W 66-56,200,20,59,0.339,12,32,0.375,8,27,0.296,18,23,0.783,66,17,50,0.34,11,22,0.5,6,28,0.214,16,21,0.762,56,12,24,36,5,23,28,15,4,3,5,17,10,2,1,8,19,104.8,89,0.39,0.458,0.472,0.407,0.305,89,104.8,0.42,0.56,0.467,0.4,0.32
2393,Houston Christian,11/26/2025,121.6,109.8,23,9,7,20,@,The Citadel,W 72-65,200,28,52,0.538,20,29,0.69,8,23,0.348,8,13,0.615,72,22,54,0.407,11,25,0.44,11,29,0.379,10,11,0.909,65,7,20,27,9,17,26,16,5,3,9,12,12,5,1,8,15,121.6,109.8,0.25,0.442,0.619,0.615,0.154,109.8,121.6,0.204,0.537,0.549,0.509,0.185
2394,Howard,11/26/2025,141.6,75.1,19,11,14,30,,St. Mary's (MD),W 115-61,200,43,69,0.623,36,50,0.72,7,19,0.368,22,34,0.647,115,18,53,0.34,12,28,0.429,6,25,0.24,19,30,0.633,61,14,30,44,8,16,24,25,13,5,11,26,6,5,3,21,23,141.6,75.1,0.493,0.275,0.675,0.674,0.319,75.1,141.6,0.566,0.472,0.454,0.396,0.358
2395,Idaho,11/26/2025,105.6,86.7,41,9,8,25,N,Cal State Northridge,W 78-64,200,22,60,0.367,10,19,0.526,12,41,0.293,22,27,0.815,78,22,61,0.361,19,38,0.5,3,23,0.13,17,25,0.68,64,8,25,33,10,25,35,12,7,1,9,21,8,8,1,11,21,105.6,86.7,0.45,0.683,0.536,0.467,0.367,86.7,105.6,0.41,0.377,0.439,0.385,0.279
2396,Idaho State,11/26/2025,111.1,115.2,24,16,7,10,N,Sam Houston State,L 81-84,203,21,46,0.457,14,22,0.636,7,24,0.292,32,41,0.78,81,27,60,0.45,19,35,0.543,8,25,0.32,22,28,0.786,84,7,10,17,14,17,31,11,6,3,16,21,10,13,0,12,29,111.1,115.2,0.891,0.522,0.619,0.533,0.696,115.2,111.1,0.467,0.417,0.573,0.517,0.367
2397,Illinois–Chicago,11/26/2025,108.6,129.2,18,12,19,13,@,Robert Morris,L 74-88,200,24,61,0.393,17,43,0.395,7,18,0.389,19,33,0.576,74,30,62,0.484,15,31,0.484,15,31,0.484,13,16,0.813,88,19,13,32,14,22,36,9,9,5,12,19,25,5,6,11,21,108.6,129.2,0.541,0.295,0.483,0.451,0.311,129.2,108.6,0.258,0.5,0.632,0.605,0.21
2398,Incarnate Word,11/26/2025,156.9,73.8,26,9,15,34,,Texas Lutheran,W 117-55,200,41,67,0.612,27,41,0.659,14,26,0.538,21,26,0.808,117,20,61,0.328,12,37,0.324,8,24,0.333,7,10,0.7,55,15,34,49,4,11,15,19,9,2,9,9,10,3,3,14,19,156.9,73.8,0.388,0.388,0.737,0.716,0.313,73.8,156.9,0.164,0.393,0.418,0.393,0.115
2399,Indiana State,11/26/2025,109.7,112.7,22,8,2,18,@,Louisiana Tech,L 73-75,200,29,56,0.518,23,34,0.676,6,22,0.273,9,10,0.9,73,33,65,0.508,30,50,0.6,3,15,0.2,6,7,0.857,75,2,18,20,12,23,35,14,3,1,8,14,13,5,4,10,9,109.7,112.7,0.179,0.393,0.601,0.571,0.161,112.7,109.7,0.108,0.231,0.549,0.531,0.092
2400,Iowa,11/26/2025,98.6,76.8,19,10,8,19,N,Grand Canyon,W 59-46,200,19,47,0.404,13,28,0.464,6,19,0.316,15,22,0.682,59,17,42,0.405,12,26,0.462,5,16,0.313,7,9,0.778,46,8,19,27,3,19,22,11,7,2,10,14,8,4,4,17,17,98.6,76.8,0.468,0.404,0.513,0.468,0.319,76.8,98.6,0.214,0.381,0.497,0.464,0.167
2401,Iowa State,11/26/2025,128.4,86.5,20,8,7,23,N,Syracuse,W 95-64,200,36,61,0.59,27,41,0.659,9,20,0.45,14,21,0.667,95,22,56,0.393,14,28,0.5,8,28,0.286,12,19,0.632,64,7,23,30,7,18,25,18,13,2,8,15,15,6,4,18,14,128.4,86.5,0.344,0.328,0.669,0.664,0.23,86.5,128.4,0.339,0.5,0.492,0.464,0.214
2402,Jacksonville State,11/26/2025,68.3,88.9,21,14,9,27,N,North Dakota State,L 43-56,200,13,50,0.26,9,29,0.31,4,21,0.19,13,23,0.565,43,19,50,0.38,11,27,0.407,8,23,0.348,10,17,0.588,56,9,27,36,8,28,36,9,6,2,14,15,14,5,3,10,17,68.3,88.9,0.46,0.42,0.353,0.3,0.26,88.9,68.3,0.34,0.46,0.482,0.46,0.2
2403,Kansas,11/26/2025,111.2,104.3,17,9,7,25,N,Tennessee,W 81-76,200,24,57,0.421,17,40,0.425,7,17,0.412,26,30,0.867,81,26,63,0.413,19,38,0.5,7,25,0.28,17,22,0.773,76,7,25,32,7,23,30,12,3,8,9,16,13,9,4,6,21,111.2,104.3,0.526,0.298,0.568,0.482,0.456,104.3,111.2,0.349,0.397,0.517,0.468,0.27
2404,Kennesaw State,11/26/2025,114.2,112,25,19,11,28,@,Florida Gulf Coast,W 102-100 (OT),225,32,63,0.508,23,38,0.605,9,25,0.36,29,36,0.806,102,31,69,0.449,21,44,0.477,10,25,0.4,28,39,0.718,100,11,28,39,8,22,30,12,5,3,19,28,13,12,3,11,26,114.2,112,0.571,0.397,0.637,0.579,0.46,112,114.2,0.565,0.362,0.571,0.522,0.406
2405,Kentucky,11/26/2025,141,73.2,30,10,10,37,,Tennessee Tech,W 104-54,200,39,66,0.591,24,36,0.667,15,30,0.5,11,13,0.846,104,23,69,0.333,17,41,0.415,6,28,0.214,2,5,0.4,54,10,37,47,7,13,20,27,9,4,10,8,8,8,1,11,13,141,73.2,0.197,0.455,0.72,0.705,0.167,73.2,141,0.072,0.406,0.378,0.377,0.029
2406,Liberty,11/26/2025,99.5,115.1,23,11,5,15,N,Bradley,L 64-74,200,22,48,0.458,13,25,0.52,9,23,0.391,11,21,0.524,64,27,53,0.509,19,35,0.543,8,18,0.444,12,14,0.857,74,5,15,20,8,25,33,14,9,3,11,16,16,7,5,13,19,99.5,115.1,0.438,0.479,0.552,0.552,0.229,115.1,99.5,0.264,0.34,0.62,0.585,0.226
2407,Lipscomb,11/26/2025,115.5,86,26,14,6,24,@,Marshall,W 90-67,200,30,57,0.526,17,31,0.548,13,26,0.5,17,26,0.654,90,22,62,0.355,16,36,0.444,6,26,0.231,17,22,0.773,67,6,24,30,11,27,38,19,9,2,14,20,9,7,3,17,22,115.5,86,0.456,0.456,0.649,0.64,0.298,86,115.5,0.355,0.419,0.462,0.403,0.274
2408,Long Beach State,11/26/2025,100.3,127.8,26,13,9,13,@,Portland,L 73-93,200,26,60,0.433,19,34,0.559,7,26,0.269,14,20,0.7,73,35,50,0.7,29,38,0.763,6,12,0.5,17,19,0.895,93,9,13,22,2,27,29,16,4,1,13,16,26,6,3,15,18,100.3,127.8,0.333,0.433,0.525,0.492,0.233,127.8,100.3,0.38,0.24,0.788,0.76,0.34
2409,Louisiana Tech,11/26/2025,112.7,109.7,15,10,12,23,,Indiana State,W 75-73,200,33,65,0.508,30,50,0.6,3,15,0.2,6,7,0.857,75,29,56,0.518,23,34,0.676,6,22,0.273,9,10,0.9,73,12,23,35,2,18,20,13,5,4,10,9,14,3,1,8,14,112.7,109.7,0.108,0.231,0.549,0.531,0.092,109.7,112.7,0.179,0.393,0.601,0.571,0.161
2410,Louisville,11/26/2025,150.8,68.1,48,9,20,38,,NJIT,W 104-47,200,36,73,0.493,16,25,0.64,20,48,0.417,12,14,0.857,104,18,58,0.31,11,31,0.355,7,27,0.259,4,7,0.571,47,20,38,58,3,17,20,24,6,2,9,11,6,3,2,11,13,150.8,68.1,0.192,0.658,0.653,0.63,0.164,68.1,150.8,0.121,0.466,0.383,0.371,0.069
2411,Loyola Chicago,11/26/2025,88.8,109.7,18,19,7,22,N,San Jose State,L 51-63,200,19,40,0.475,12,22,0.545,7,18,0.389,6,10,0.6,51,23,54,0.426,18,35,0.514,5,19,0.263,12,17,0.706,63,7,22,29,10,15,25,12,1,4,19,13,11,8,1,6,12,88.8,109.7,0.25,0.45,0.57,0.563,0.15,109.7,88.8,0.315,0.352,0.507,0.472,0.222
2412,Manhattan,11/26/2025,126.7,129.2,27,9,11,15,,Wagner,L 101-103 (OT),225,31,69,0.449,19,42,0.452,12,27,0.444,27,35,0.771,101,37,64,0.578,28,48,0.583,9,16,0.563,20,27,0.741,103,11,15,26,14,26,40,17,11,6,9,20,17,5,8,13,21,126.7,129.2,0.507,0.391,0.59,0.536,0.391,129.2,126.7,0.422,0.25,0.67,0.648,0.313
2413,Marshall,11/26/2025,86,115.5,26,17,11,27,,Lipscomb,L 67-90,200,22,62,0.355,16,36,0.444,6,26,0.231,17,22,0.773,67,30,57,0.526,17,31,0.548,13,26,0.5,17,26,0.654,90,11,27,38,6,24,30,9,7,3,17,22,19,9,2,14,20,86,115.5,0.355,0.419,0.462,0.403,0.274,115.5,86,0.456,0.456,0.649,0.64,0.298
2414,UMass Lowell,11/26/2025,108.6,92.7,26,6,13,30,@,Stonehill,W 75-64,200,28,64,0.438,21,38,0.553,7,26,0.269,12,25,0.48,75,23,70,0.329,12,39,0.308,11,31,0.355,7,9,0.778,64,13,30,43,14,27,41,13,6,2,6,9,11,4,3,9,16,108.6,92.7,0.391,0.406,0.494,0.492,0.188,92.7,108.6,0.129,0.443,0.431,0.407,0.1
2415,Memphis,11/26/2025,103.4,81,22,14,10,21,,Southern Illinois,W 74-58,200,25,58,0.431,17,36,0.472,8,22,0.364,16,20,0.8,74,18,58,0.31,16,43,0.372,2,15,0.133,20,33,0.606,58,10,21,31,15,18,33,14,11,5,14,25,9,8,4,13,19,103.4,81,0.345,0.379,0.548,0.5,0.276,81,103.4,0.569,0.259,0.394,0.328,0.345
2416,Mercer,11/26/2025,117,104.5,28,9,13,23,,Appalachian State,W 75-67,200,24,59,0.407,13,31,0.419,11,28,0.393,16,19,0.842,75,28,61,0.459,24,40,0.6,4,21,0.19,7,13,0.538,67,13,23,36,11,20,31,13,7,1,9,12,14,6,4,8,16,117,104.5,0.322,0.475,0.551,0.5,0.271,104.5,117,0.213,0.344,0.499,0.492,0.115
2417,Miami (OH),11/26/2025,114.4,99,34,8,6,22,N,UNC Greensboro,W 82-71,200,28,59,0.475,17,25,0.68,11,34,0.324,15,20,0.75,82,23,54,0.426,17,32,0.531,6,22,0.273,19,25,0.76,71,6,22,28,10,26,36,14,9,3,8,18,3,5,0,17,19,114.4,99,0.339,0.576,0.599,0.568,0.254,99,114.4,0.463,0.407,0.539,0.481,0.352
2418,Michigan,11/26/2025,123.9,74.8,27,14,5,37,N,Gonzaga,W 101-61,200,36,60,0.6,23,33,0.697,13,27,0.481,16,25,0.64,101,25,74,0.338,22,52,0.423,3,22,0.136,8,15,0.533,61,5,37,42,10,21,31,29,7,8,14,17,17,9,2,11,22,123.9,74.8,0.417,0.45,0.703,0.708,0.267,74.8,123.9,0.203,0.297,0.376,0.358,0.108
2419,Navy,11/26/2025,125.1,76,24,14,12,26,N,Gardner-Webb,W 84-51,200,29,57,0.509,18,33,0.545,11,24,0.458,15,18,0.833,84,19,51,0.373,15,26,0.577,4,25,0.16,9,12,0.75,51,12,26,38,5,14,19,20,6,4,14,12,8,7,3,15,17,125.1,76,0.316,0.421,0.641,0.605,0.263,76,125.1,0.235,0.49,0.45,0.412,0.176
2420,Omaha,11/26/2025,83,100.7,27,19,10,27,@,Florida International,L 61-74,200,20,55,0.364,13,28,0.464,7,27,0.259,14,20,0.7,61,26,64,0.406,15,33,0.455,11,31,0.355,11,22,0.5,74,10,27,37,8,23,31,11,5,4,19,16,17,14,7,7,21,83,100.7,0.364,0.491,0.473,0.427,0.255,100.7,83,0.344,0.484,0.497,0.492,0.172
2421,UNLV,11/26/2025,93.7,141.7,28,10,7,16,N,Alabama,L 76-115,200,30,71,0.423,21,43,0.488,9,28,0.321,7,14,0.5,76,36,65,0.554,22,32,0.688,14,33,0.424,29,35,0.829,115,7,16,23,12,33,45,16,8,2,10,23,20,7,6,12,14,93.7,141.7,0.197,0.394,0.489,0.486,0.099,141.7,93.7,0.538,0.508,0.704,0.662,0.446
2422,New Hampshire,11/26/2025,70.7,88.7,30,14,7,25,,Brown,L 47-59,200,18,60,0.3,11,30,0.367,7,30,0.233,4,4,1,47,22,51,0.431,17,32,0.531,5,19,0.263,10,15,0.667,59,7,25,32,7,27,34,8,9,3,14,16,12,8,6,13,15,70.7,88.7,0.067,0.5,0.38,0.358,0.067,88.7,70.7,0.294,0.373,0.508,0.48,0.196
2423,New Mexico,11/26/2025,128.7,120.4,26,10,8,15,,Alabama State,W 93-87,200,27,54,0.5,15,28,0.536,12,26,0.462,27,38,0.711,93,29,56,0.518,16,30,0.533,13,26,0.5,16,20,0.8,87,8,15,23,10,20,30,17,6,2,10,16,13,8,3,15,25,128.7,120.4,0.704,0.481,0.645,0.611,0.5,120.4,128.7,0.357,0.464,0.664,0.634,0.286
2424,New Mexico State,11/26/2025,104.5,78.7,23,9,17,29,N,Georgia State,W 77-58,200,29,76,0.382,20,53,0.377,9,23,0.391,10,14,0.714,77,21,67,0.313,14,34,0.412,7,33,0.212,9,12,0.75,58,17,29,46,11,25,36,12,9,2,9,17,9,6,2,11,16,104.5,78.7,0.184,0.303,0.466,0.441,0.132,78.7,104.5,0.179,0.493,0.399,0.366,0.134
